IdReporte;CodigoPdv;NombrePdv;TiempoPos;TiempoTotal
22;268;PLUS No. 2 COUNTRY;30/06/2015 00:13;64
22;268;PLUS No. 2 COUNTRY;30/06/2015 01:19;11
22;268;PLUS No. 2 COUNTRY;30/06/2015 01:34;12
22;268;PLUS No. 2 COUNTRY;30/06/2015 01:55;12
22;268;PLUS No. 2 COUNTRY;30/06/2015 07:01;51
22;268;PLUS No. 2 COUNTRY;30/06/2015 07:33;12
22;229;HEROES 1;30/06/2015 07:58;29
22;268;PLUS No. 2 COUNTRY;30/06/2015 08:22;57
22;268;PLUS No. 2 COUNTRY;30/06/2015 08:25;61
22;268;PLUS No. 2 COUNTRY;30/06/2015 08:27;45
22;229;HEROES 1;30/06/2015 08:31;48
22;229;HEROES 1;30/06/2015 08:39;56
22;268;PLUS No. 2 COUNTRY;30/06/2015 08:48;27
22;268;PLUS No. 2 COUNTRY;30/06/2015 09:13;81
22;237;COUNTRY 2;30/06/2015 09:16;36
22;229;HEROES 1;30/06/2015 09:20;46
22;237;COUNTRY 2;30/06/2015 09:22;39
22;268;PLUS No. 2 COUNTRY;30/06/2015 09:29;36
22;268;PLUS No. 2 COUNTRY;30/06/2015 09:41;28
22;268;PLUS No. 2 COUNTRY;30/06/2015 09:53;-38
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:04;-46
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:05;28
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:20;68
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:20;50
22;229;HEROES 1;30/06/2015 10:35;22
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:37;12
22;229;HEROES 1;30/06/2015 10:43;23
22;229;HEROES 1;30/06/2015 10:50;1235
22;229;HEROES 1;30/06/2015 10:52;21
22;268;PLUS No. 2 COUNTRY;30/06/2015 10:57;26
22;268;PLUS No. 2 COUNTRY;30/06/2015 11:35;12
22;268;PLUS No. 2 COUNTRY;30/06/2015 11:43;21
22;268;PLUS No. 2 COUNTRY;30/06/2015 11:47;18
22;268;PLUS No. 2 COUNTRY;30/06/2015 11:50;107
22;268;PLUS No. 2 COUNTRY;30/06/2015 11:55;12
22;229;HEROES 1;30/06/2015 12:20;50
22;268;PLUS No. 2 COUNTRY;30/06/2015 12:22;14
22;268;PLUS No. 2 COUNTRY;30/06/2015 12:26;19
22;268;PLUS No. 2 COUNTRY;30/06/2015 12:56;53
22;268;PLUS No. 2 COUNTRY;30/06/2015 12:59;39
22;268;PLUS No. 2 COUNTRY;30/06/2015 13:02;75
22;268;PLUS No. 2 COUNTRY;30/06/2015 13:23;61
22;268;PLUS No. 2 COUNTRY;30/06/2015 14:24;53
22;229;HEROES 1;30/06/2015 14:28;19
22;268;PLUS No. 2 COUNTRY;30/06/2015 14:41;42
22;268;PLUS No. 2 COUNTRY;30/06/2015 14:44;32
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:00;72
22;229;HEROES 1;30/06/2015 15:10;48
22;229;HEROES 1;30/06/2015 15:16;34
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:17;26
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:20;33
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:20;188
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:27;18
22;237;COUNTRY 2;30/06/2015 15:39;49
22;268;PLUS No. 2 COUNTRY;30/06/2015 15:46;270
22;268;PLUS No. 2 COUNTRY;30/06/2015 16:22;57
22;229;HEROES 1;30/06/2015 16:23;80
22;268;PLUS No. 2 COUNTRY;30/06/2015 16:30;58
22;268;PLUS No. 2 COUNTRY;30/06/2015 16:32;63
22;229;HEROES 1;30/06/2015 16:33;25
22;268;PLUS No. 2 COUNTRY;30/06/2015 16:48;31
22;237;COUNTRY 2;30/06/2015 16:52;23
22;268;PLUS No. 2 COUNTRY;30/06/2015 16:58;46
22;229;HEROES 1;30/06/2015 16:59;49
22;237;COUNTRY 2;30/06/2015 17:03;38
22;237;COUNTRY 2;30/06/2015 17:05;53
22;268;PLUS No. 2 COUNTRY;30/06/2015 17:33;35
22;268;PLUS No. 2 COUNTRY;30/06/2015 17:42;29
22;268;PLUS No. 2 COUNTRY;30/06/2015 18:50;51
22;268;PLUS No. 2 COUNTRY;30/06/2015 18:50;29
22;268;PLUS No. 2 COUNTRY;30/06/2015 18:51;58
22;237;COUNTRY 2;30/06/2015 19:06;247
22;237;COUNTRY 2;30/06/2015 19:11;248
22;268;PLUS No. 2 COUNTRY;30/06/2015 19:15;45
22;268;PLUS No. 2 COUNTRY;30/06/2015 19:18;61
22;237;COUNTRY 2;30/06/2015 19:20;47
22;268;PLUS No. 2 COUNTRY;30/06/2015 19:24;44
22;268;PLUS No. 2 COUNTRY;30/06/2015 19:34;137
22;237;COUNTRY 2;30/06/2015 19:35;76
22;237;COUNTRY 2;30/06/2015 19:38;89
22;237;COUNTRY 2;30/06/2015 19:47;113
22;268;PLUS No. 2 COUNTRY;30/06/2015 19:57;120
22;237;COUNTRY 2;30/06/2015 20:04;74
22;237;COUNTRY 2;30/06/2015 20:19;63
22;268;PLUS No. 2 COUNTRY;30/06/2015 20:35;17
22;268;PLUS No. 2 COUNTRY;30/06/2015 20:38;24
22;268;PLUS No. 2 COUNTRY;30/06/2015 20:49;37
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:09;41
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:10;59
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:25;68
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:33;16
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:50;73
22;268;PLUS No. 2 COUNTRY;30/06/2015 21:59;74
22;268;PLUS No. 2 COUNTRY;30/06/2015 22:02;49
22;268;PLUS No. 2 COUNTRY;30/06/2015 22:09;46
22;268;PLUS No. 2 COUNTRY;30/06/2015 22:34;33
22;268;PLUS No. 2 COUNTRY;30/06/2015 23:26;16
22;268;PLUS No. 2 COUNTRY;01/07/2015 00:22;31
22;268;PLUS No. 2 COUNTRY;01/07/2015 01:36;12
22;268;PLUS No. 2 COUNTRY;01/07/2015 01:56;12
22;268;PLUS No. 2 COUNTRY;01/07/2015 05:09;116
22;268;PLUS No. 2 COUNTRY;01/07/2015 05:10;119
22;268;PLUS No. 2 COUNTRY;01/07/2015 06:57;25
22;237;COUNTRY 2;01/07/2015 07:42;56
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:17;67
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:20;81
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:20;823
22;229;HEROES 1;01/07/2015 08:20;1000
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:50;55
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:50;104
22;268;PLUS No. 2 COUNTRY;01/07/2015 08:50;91
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:08;142
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:20;85
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:20;87
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:20;117
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:45;26
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:47;59
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:50;74
22;268;PLUS No. 2 COUNTRY;01/07/2015 09:50;44
22;237;COUNTRY 2;01/07/2015 09:57;0
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:07;47
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:11;56
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:16;29
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:21;27
22;237;COUNTRY 2;01/07/2015 10:27;112
22;237;COUNTRY 2;01/07/2015 10:41;108
22;237;COUNTRY 2;01/07/2015 10:43;111
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:50;23
22;268;PLUS No. 2 COUNTRY;01/07/2015 10:50;801
22;268;PLUS No. 2 COUNTRY;01/07/2015 11:04;12
